"Date and Time Run #10","Time (s) Run #10","Counts/sample (counts/sample) Run #10","Angle (rad) Run #10","Angular Velocity (rad/s) Run #10","Angular Acceleration (rad/s²) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Counts Run #10","State Run #10","Time in Gate (s) Run #10","Speed (m/s) Run #10"
01/27/2023 02:31:31 pm,0.000,1,0.017,,,4.1667E-4,,,1,,,
01/27/2023 02:31:31 pm,0.050,0,0.017,-0.349,,4.1667E-4,-0.008,,1,,,
01/27/2023 02:31:31 pm,0.100,-2,-0.017,-1.396,-20.362,-4.1667E-4,-0.033,-0.486,-1,,,
01/27/2023 02:31:31 pm,0.150,-6,-0.122,-2.385,-17.065,-0.0029,-0.057,-0.407,-7,,,
01/27/2023 02:31:31 pm,0.200,-8,-0.262,-3.200,-12.605,-0.0062,-0.076,-0.301,-15,,,
01/27/2023 02:31:31 pm,0.250,-11,-0.454,-3.665,-7.369,-0.0108,-0.088,-0.176,-26,,,
01/27/2023 02:31:31 pm,0.300,-11,-0.646,-3.898,-2.521,-0.0154,-0.093,-0.060,-37,,,
01/27/2023 02:31:31 pm,0.350,-11,-0.838,-3.898,1.551,-0.0200,-0.093,0.037,-48,,,
01/27/2023 02:31:31 pm,0.400,-12,-1.047,-3.723,5.042,-0.0250,-0.089,0.120,-60,,,
01/27/2023 02:31:31 pm,0.450,-10,-1.222,-3.374,7.563,-0.0292,-0.081,0.181,-70,,,
01/27/2023 02:31:31 pm,0.500,-9,-1.379,-2.909,9.114,-0.0329,-0.069,0.218,-79,,,
01/27/2023 02:31:31 pm,0.550,-8,-1.518,-2.443,10.084,-0.0362,-0.058,0.241,-87,,,
01/27/2023 02:31:31 pm,0.600,-6,-1.623,-1.920,11.054,-0.0387,-0.046,0.264,-93,,,
01/27/2023 02:31:31 pm,0.650,-5,-1.710,-1.338,12.217,-0.0408,-0.032,0.292,-98,,,
01/27/2023 02:31:31 pm,0.700,-3,-1.763,-0.698,13.187,-0.0421,-0.017,0.315,-101,,,
01/27/2023 02:31:31 pm,0.750,-1,-1.780,0.000,13.963,-0.0425,0.000,0.333,-102,,,
01/27/2023 02:31:31 pm,0.793,,,,,,,,,1.00,,
01/27/2023 02:31:31 pm,0.800,1,-1.763,0.698,14.738,-0.0421,0.017,0.352,-101,,,
