"Date and Time Run #12","Time (s) Run #12","Counts/sample (counts/sample) Run #12","Angle (rad) Run #12","Angular Velocity (rad/s) Run #12","Angular Acceleration (rad/s²) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Counts Run #12","State Run #12","Time in Gate (s) Run #12","Speed (m/s) Run #12"
01/27/2023 03:47:34 pm,0.000,0,0.000,,,0.0000,,,0,,,
01/27/2023 03:47:34 pm,0.050,0,0.000,0.000,,0.0000,0.000,,0,,,
01/27/2023 03:47:34 pm,0.100,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.150,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.200,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.250,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.300,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.350,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.400,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.450,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.500,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.550,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.600,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.650,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.700,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.750,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.800,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.850,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.900,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:34 pm,0.950,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.000,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.050,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.100,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.150,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.200,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.250,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.300,0,0.000,0.000,0.000,0.0000,0.000,0.000,0,,,
01/27/2023 03:47:35 pm,1.350,0,0.000,0.000,0.194,0.0000,0.000,0.005,0,,,
01/27/2023 03:47:35 pm,1.400,0,0.000,0.000,2.521,0.0000,0.000,0.060,0,,,
01/27/2023 03:47:35 pm,1.450,0,0.000,0.058,7.757,0.0000,0.001,0.185,0,,,
01/27/2023 03:47:35 pm,1.500,0,0.000,0.698,12.605,0.0000,0.017,0.301,0,,,
01/27/2023 03:47:35 pm,1.550,1,0.017,1.629,11.636,4.1667E-4,0.039,0.278,1,,,
01/27/2023 03:47:35 pm,1.600,10,0.192,2.211,3.491,0.0046,0.053,0.083,11,,,
01/27/2023 03:47:35 pm,1.650,6,0.297,2.036,-4.654,0.0071,0.049,-0.111,17,,,
01/27/2023 03:47:35 pm,1.700,5,0.384,1.338,-4.654,0.0092,0.032,-0.111,22,,,
01/27/2023 03:47:35 pm,1.750,3,0.436,1.105,4.654,0.0104,0.026,0.111,25,,,
01/27/2023 03:47:35 pm,1.800,1,0.454,1.745,15.126,0.0108,0.042,0.361,26,,,
01/27/2023 03:47:35 pm,1.850,6,0.559,3.025,16.872,0.0133,0.072,0.403,32,,,
01/27/2023 03:47:35 pm,1.900,13,0.785,3.956,8.339,0.0188,0.094,0.199,45,,,
01/27/2023 03:47:35 pm,1.950,13,1.012,3.956,-3.491,0.0242,0.094,-0.083,58,,,
01/27/2023 03:47:36 pm,2.000,10,1.187,3.316,-10.472,0.0283,0.079,-0.250,68,,,
01/27/2023 03:47:36 pm,2.050,9,1.344,2.618,-10.860,0.0321,0.063,-0.259,77,,,
01/27/2023 03:47:36 pm,2.100,6,1.449,2.153,-7.563,0.0346,0.051,-0.181,83,,,
01/27/2023 03:47:36 pm,2.150,5,1.536,1.862,-4.072,0.0367,0.044,-0.097,88,,,
