"Time (s) Run #3","Angle (rad) Run #3","Angular Velocity (rad/s) Run #3","Angular Acceleration (rad/s²) Run #3","State Run #3"
0.000,0.004,,,
0.050,-0.196,-3.971,,
0.100,-0.393,-3.476,12.072,
0.150,-0.559,-2.763,15.853,
0.200,-0.676,-1.833,18.035,
0.250,-0.742,-0.858,17.841,
0.300,-0.759,0.029,15.320,
0.350,-0.733,0.727,11.296,
0.400,-0.676,1.178,6.642,
0.450,-0.607,1.382,2.085,
0.500,-0.532,1.367,-1.939,
0.550,-0.463,1.164,-5.042,
0.600,-0.410,0.814,-6.787,
0.650,-0.380,0.422,-6.981,
0.700,-0.371,0.073,-5.818,
0.750,-0.375,-0.189,-3.685,
0.800,-0.393,-0.320,-0.921,
0.850,-0.415,-0.291,1.988,
0.856,,,,1.00
0.900,-0.428,-0.102,4.460,
0.912,,,,0.00
0.950,-0.428,0.189,6.157,
1.000,-0.410,0.538,7.030,
1.050,-0.375,0.916,7.127,
1.100,-0.319,1.280,6.400,
1.150,-0.244,1.585,4.897,
1.200,-0.157,1.789,2.763,
1.250,-0.061,1.876,0.145,
1.300,0.035,1.818,-2.812,
1.350,0.127,1.600,-5.915,
1.400,0.201,1.222,-8.824,
1.450,0.253,0.698,-11.248,
1.500,0.275,0.073,-12.993,
1.550,0.262,-0.625,-14.060,
1.600,0.214,-1.353,-14.496,
1.650,0.127,-2.094,-14.108,
1.700,0.004,-2.807,-12.411,
1.750,-0.157,-3.403,-8.921,
1.800,-0.345,-3.767,-3.588,
1.850,-0.545,-3.811,3.200,
1.900,-0.737,-3.476,10.714,
1.950,-0.908,-2.734,17.938,
2.000,-1.025,-1.629,23.562,
2.050,-1.078,-0.276,26.471,
2.100,-1.056,1.134,26.277,
2.115,,,,1.00
2.150,-0.960,2.443,23.320,
2.171,,,,0.00
2.200,-0.803,3.534,18.326,
2.250,-0.598,4.320,12.169,
2.300,-0.358,4.756,5.818,
2.350,-0.109,4.872,0.194,
2.400,0.135,4.727,-4.121,
2.450,0.371,4.407,-6.933,
2.500,0.580,3.985,-8.387,
2.550,0.768,3.534,-8.969,
2.600,0.934,3.083,-9.211,
2.650,1.078,2.618,-9.454,
2.700,1.196,2.138,-9.842,
2.750,1.292,1.644,-10.472,
2.800,1.361,1.105,-11.345,
2.850,1.405,0.509,-12.314,
2.900,1.414,-0.131,-13.332,
2.950,1.392,-0.814,-14.593,
3.000,1.335,-1.571,-16.241,
3.050,1.239,-2.429,-18.084,
3.100,1.095,-3.389,-19.538,
3.150,0.903,-4.422,-19.877,
3.200,0.654,-5.440,-18.229,
3.250,0.353,-6.341,-13.672,
3.300,0.013,-6.938,-5.527,
3.350,-0.358,-7.025,6.157,
3.377,,,,1.00
3.400,-0.716,-6.414,20.023,
3.433,,,,0.00
3.450,-1.025,-5.018,33.549,
3.500,-1.244,-2.938,43.633,
3.550,-1.335,-0.436,47.900,
3.600,-1.287,2.094,45.718,
3.650,-1.113,4.320,38.058,
3.700,-0.838,6.021,26.810,
3.750,-0.489,7.054,14.254,
3.800,-0.105,7.403,2.812,
3.850,0.271,7.214,-5.575,
3.900,0.624,6.705,-10.278,
3.950,0.947,6.080,-11.781,
4.000,1.230,5.454,-11.054,
4.050,1.488,4.931,-9.114,
4.100,1.719,4.538,-6.690,
4.150,1.937,4.262,-4.218,
4.200,2.142,4.116,-1.794,
4.250,2.343,4.087,0.436,
4.300,2.548,4.174,2.182,
4.350,2.758,4.334,3.151,
4.400,2.980,4.523,3.103,
4.450,3.211,4.683,1.988,
4.500,3.451,4.756,-0.242,
4.550,3.691,4.698,-3.588,
4.600,3.927,4.436,-7.902,
4.639,,,,1.00
4.650,4.145,3.927,-12.702,
4.694,,,,0.00
4.700,4.328,3.156,-17.065,
4.750,4.468,2.167,-19.974,
4.800,4.551,1.076,-20.605,
4.850,4.573,0.015,-18.714,
4.900,4.547,-0.873,-14.835,
4.950,4.477,-1.498,-9.987,
5.000,4.385,-1.862,-5.236,
5.050,4.285,-1.993,-1.164,
5.100,4.180,-1.949,2.036,
5.150,4.084,-1.760,4.266,
5.200,4.001,-1.484,5.430,
5.250,3.936,-1.178,5.527,
5.300,3.883,-0.902,4.848,
5.350,3.848,-0.684,3.733,
5.400,3.818,-0.524,2.473,
5.450,3.796,-0.436,1.212,
5.500,3.779,-0.407,0.145,
5.550,3.757,-0.436,-0.436,
5.600,3.735,-0.480,-0.339,
5.650,3.709,-0.495,0.485,
5.700,3.683,-0.451,1.745,
5.750,3.661,-0.320,3.054,
5.800,3.648,-0.131,4.218,
5.850,3.648,0.102,5.284,
5.900,3.656,0.393,6.351,
5.901,,,,1.00
