"Time (s) Run #4","Angle (rad) Run #4","Angular Velocity (rad/s) Run #4","Angular Acceleration (rad/s²) Run #4","State Run #4"
0.000,0.000,,,
0.050,0.000,0.000,,
0.100,0.000,0.000,0.000,
0.150,0.000,0.000,0.000,
0.200,0.000,0.000,0.000,
0.250,0.000,0.000,0.000,
0.300,0.000,0.000,0.000,
0.350,0.000,0.000,0.000,
0.400,0.000,0.000,0.000,
0.450,0.000,0.000,0.000,
0.500,0.000,0.000,0.000,
0.550,0.000,0.000,0.000,
0.600,0.000,0.000,0.000,
0.650,0.000,0.000,0.000,
0.700,0.000,0.000,0.000,
0.750,0.000,0.000,0.000,
0.800,0.000,0.000,0.000,
0.850,0.000,0.000,0.000,
0.900,0.000,0.000,0.000,
0.950,0.000,0.000,0.000,
1.000,0.000,0.000,0.000,
1.050,0.000,0.000,0.000,
1.100,0.000,0.000,0.000,
1.150,0.000,0.000,0.000,
1.200,0.000,0.000,0.000,
1.250,0.000,0.000,0.000,
1.300,0.000,0.000,0.000,
1.350,0.000,0.000,0.000,
1.400,0.000,0.000,0.000,
1.450,0.000,0.000,0.000,
1.500,0.000,0.000,0.000,
1.550,0.000,0.000,0.000,
1.600,0.000,0.000,0.000,
1.650,0.000,0.000,0.000,
1.700,0.000,0.000,0.000,
1.750,0.000,0.000,0.048,
1.800,0.000,0.000,0.291,
1.850,0.000,0.015,-0.145,
1.900,0.000,0.073,-4.363,
1.950,0.004,-0.116,-17.647,
2.000,0.017,-1.178,-40.918,
2.050,-0.052,-4.029,-63.171,
2.100,-0.297,-8.290,-67.438,
2.150,-0.890,-11.956,-47.657,
2.200,-1.632,-13.483,-17.890,
2.250,-2.304,-13.134,2.618,
2.300,-2.928,-12.479,8.678,
2.350,-3.534,-12.174,9.454,
2.400,-4.145,-11.839,15.466,
2.450,-4.739,-10.937,29.089,
2.500,-5.275,-9.076,46.445,
2.550,-5.685,-6.210,61.814,
2.600,-5.921,-2.633,70.346,
2.650,-5.956,1.164,69.765,
2.700,-5.794,4.654,60.505,
2.750,-5.463,7.432,45.039,
2.800,-5.018,9.250,27.053,
2.850,-4.503,10.079,10.617,
2.900,-3.979,10.123,-0.776,
2.950,-3.478,9.745,-5.478,
3.000,-3.006,9.352,-3.975,
3.050,-2.553,9.207,1.648,
3.100,-2.099,9.468,8.387,
3.150,-1.623,10.123,12.702,
3.200,-1.095,10.952,11.054,
3.250,-0.519,11.534,1.357,
3.300,0.083,11.374,-15.708,
3.350,0.659,10.108,-36.458,
3.400,1.139,7.665,-55.511,
3.450,1.457,4.305,-68.068,
3.500,1.584,0.524,-71.655,
3.550,1.505,-3.171,-66.177,
3.600,1.248,-6.356,-52.990,
3.650,0.842,-8.668,-34.373,
3.700,0.340,-9.876,-13.672,
3.750,-0.188,-9.963,5.091,
3.800,-0.685,-9.163,18.714,
3.850,-1.121,-7.854,25.938,
3.900,-1.475,-6.370,27.586,
3.950,-1.754,-4.974,25.744,
4.000,-1.963,-3.767,22.544,
4.050,-2.125,-2.734,19.344,
4.100,-2.234,-1.847,16.532,
4.150,-2.304,-1.091,14.157,
4.200,-2.339,-0.451,12.411,
4.250,-2.347,0.116,11.490,
4.300,-2.326,0.669,11.296,
4.350,-2.282,1.236,11.684,
4.400,-2.203,1.818,12.654,
4.450,-2.099,2.473,14.399,
4.500,-1.963,3.229,16.775,
4.550,-1.780,4.145,19.102,
4.600,-1.553,5.178,20.459,
4.650,-1.265,6.254,19.732,
4.700,-0.925,7.258,15.756,
4.750,-0.532,7.985,7.563,
4.800,-0.109,8.174,-4.800,
4.850,0.314,7.607,-19.683,
4.900,0.681,6.196,-34.276,
4.950,0.960,4.058,-45.524,
5.000,1.104,1.440,-50.954,
5.050,1.108,-1.294,-49.499,
5.100,0.964,-3.738,-41.597,
5.150,0.711,-5.614,-29.040,
5.200,0.380,-6.720,-14.205,
5.250,0.009,-7.025,0.436,
5.300,-0.349,-6.589,12.654,
5.350,-0.668,-5.614,21.235,
5.400,-0.921,-4.334,26.131,
5.450,-1.104,-2.909,28.216,
5.500,-1.213,-1.454,28.410,
5.550,-1.248,-0.029,27.440,
5.600,-1.213,1.309,25.889,
5.650,-1.113,2.560,23.950,
5.700,-0.956,3.723,21.186,
5.750,-0.737,4.741,16.678,
5.800,-0.471,5.483,9.745,
5.850,-0.175,5.803,0.436,
5.900,0.127,5.585,-10.375,
5.950,0.406,4.771,-21.138,
6.000,0.624,3.403,-29.865,
6.050,0.759,1.644,-34.858,
6.100,0.794,-0.247,-35.246,
6.150,0.729,-2.036,-31.125,
6.200,0.580,-3.491,-23.416,
6.250,0.362,-4.451,-13.526,
6.300,0.113,-4.858,-3.151,
6.350,-0.140,-4.727,6.303,
6.400,-0.375,-4.160,13.914,
6.450,-0.567,-3.258,19.247,
6.500,-0.707,-2.153,22.350,
6.550,-0.785,-0.960,23.465,
6.600,-0.803,0.247,22.932,
6.650,-0.759,1.382,20.992,
6.700,-0.659,2.385,17.744,
6.750,-0.515,3.200,13.235,
6.800,-0.332,3.752,7.418,
6.850,-0.127,3.985,0.436,
6.900,0.079,3.825,-7.175,
6.950,0.271,3.258,-14.496,
7.000,0.419,2.327,-20.314,
7.050,0.511,1.134,-23.610,
7.100,0.537,-0.145,-23.756,
7.150,0.493,-1.353,-20.750,
7.200,0.393,-2.313,-15.369,
7.250,0.249,-2.923,-8.727,
7.300,0.087,-3.185,-1.842,
7.350,-0.079,-3.098,4.606,
7.400,-0.236,-2.691,10.036,
7.450,-0.358,-2.036,13.914,
7.500,-0.441,-1.236,16.047,
7.550,-0.484,-0.378,16.484,
7.600,-0.480,0.465,15.369,
7.650,-0.432,1.207,12.993,
7.700,-0.353,1.789,9.745,
7.750,-0.249,2.196,5.866,
7.800,-0.127,2.400,1.454,
7.850,0.000,2.356,-3.200,
7.900,0.118,2.065,-7.515,
7.950,0.214,1.571,-10.908,
8.000,0.279,0.931,-12.993,
8.050,0.310,0.218,-13.478,
8.100,0.301,-0.480,-12.266,
8.150,0.257,-1.062,-9.648,
8.200,0.188,-1.469,-6.206,
8.250,0.105,-1.687,-2.473,
8.300,0.013,-1.716,1.261,
8.350,-0.074,-1.556,4.654,
8.400,-0.148,-1.222,7.224,
8.450,-0.201,-0.785,8.581,
8.500,-0.227,-0.320,8.678,
8.550,-0.231,0.116,7.854,
8.600,-0.214,0.480,6.448,
8.650,-0.179,0.771,4.703,
8.700,-0.135,0.960,2.715,
8.750,-0.079,1.047,0.582,
8.800,-0.026,1.018,-1.454,
8.850,0.026,0.887,-3.248,
8.900,0.065,0.684,-4.606,
8.950,0.096,0.407,-5.333,
9.000,0.109,0.116,-5.236,
9.050,0.105,-0.145,-4.363,
9.100,0.092,-0.335,-3.103,
9.150,0.070,-0.451,-1.794,
9.200,0.044,-0.509,-0.582,
9.250,0.017,-0.509,0.582,
9.300,-0.009,-0.451,1.648,
9.350,-0.031,-0.335,2.376,
9.400,-0.044,-0.189,2.521,
9.450,-0.048,-0.058,2.085,
9.500,-0.048,0.029,1.357,
9.550,-0.044,0.073,0.679,
9.600,-0.039,0.087,0.194,
9.650,-0.035,0.087,-0.097,
9.700,-0.031,0.073,-0.242,
9.750,-0.026,0.058,-0.291,
9.800,-0.026,0.044,-0.291,
9.850,-0.022,0.029,-0.291,
9.900,-0.022,0.015,-0.242,
9.950,-0.022,0.000,-0.145,
10.000,-0.022,0.000,-0.048,
10.050,-0.022,0.000,0.145,
10.100,-0.022,0.000,1.115,
10.150,-0.022,0.044,3.248,
10.200,-0.022,0.291,4.412,
10.250,-0.009,0.684,0.145,
10.300,0.052,0.684,-15.853,
10.350,0.109,-0.305,-47.560,
10.400,0.065,-3.476,-86.103,
10.450,-0.113,-9.425,-108.792,
10.500,-0.768,-16.028,-96.381,
10.550,-1.885,-20.391,-55.075,
10.600,-2.971,-21.424,-9.793,
10.650,-4.027,-20.551,24.725,
10.700,-5.053,-18.806,51.730,
10.750,-5.969,-15.592,77.619,
10.800,-6.672,-10.865,99.678,
10.850,-7.086,-5.207,111.895,
