"Time (s) Run #7","Angle (rad) Run #7","Angular Velocity (rad/s) Run #7","Angular Acceleration (rad/s²) Run #7","State Run #7"
0.000,0.004,,,
0.050,-0.397,-8.334,,
0.100,-0.829,-7.723,19.635,
0.150,-1.213,-6.370,35.294,
0.200,-1.497,-4.116,47.512,
0.250,-1.641,-1.353,53.620,
0.300,-1.636,1.513,52.069,
0.350,-1.479,4.087,43.827,
0.400,-1.204,6.065,30.883,
0.450,-0.846,7.243,15.950,
0.500,-0.449,7.621,1.891,
0.550,-0.061,7.316,-9.066,
0.600,0.297,6.560,-15.999,
0.650,0.602,5.585,-19.247,
0.700,0.855,4.552,-20.023,
0.750,1.056,3.549,-19.490,
0.800,1.209,2.589,-18.374,
0.850,1.313,1.702,-16.968,
0.900,1.374,0.887,-15.369,
0.950,1.401,0.160,-13.720,
1.000,1.388,-0.480,-12.217,
1.050,1.348,-1.047,-11.102,
1.100,1.283,-1.571,-10.375,
1.150,1.191,-2.080,-9.793,
1.187,,,,1.00
1.200,1.073,-2.560,-9.211,
1.243,,,,0.00
1.250,0.934,-2.996,-8.727,
1.300,0.772,-3.418,-8.339,
1.350,0.593,-3.840,-7.660,
1.400,0.388,-4.218,-6.157,
1.450,0.166,-4.494,-3.588,
1.500,-0.065,-4.611,0.048,
1.550,-0.301,-4.523,4.703,
1.600,-0.528,-4.174,10.084,
1.650,-0.729,-3.520,15.417,
1.700,-0.890,-2.589,19.538,
1.750,-0.995,-1.484,21.380,
1.800,-1.038,-0.349,20.459,
1.850,-1.025,0.654,16.968,
1.900,-0.964,1.411,11.684,
1.950,-0.873,1.847,5.624,
2.000,-0.768,1.963,-0.339,
2.050,-0.668,1.789,-5.527,
2.100,-0.580,1.367,-9.454,
2.150,-0.524,0.785,-11.684,
2.200,-0.502,0.131,-12.072,
2.250,-0.511,-0.480,-10.811,
2.300,-0.554,-0.989,-8.242,
2.350,-0.615,-1.338,-4.654,
2.400,-0.694,-1.484,-0.194,
2.450,-0.772,-1.382,4.654,
2.484,,,,1.00
2.500,-0.842,-1.004,9.114,
2.542,,,,0.00
2.550,-0.881,-0.422,12.363,
2.600,-0.886,0.291,13.914,
2.650,-0.855,1.033,13.769,
2.700,-0.781,1.716,12.169,
2.750,-0.676,2.283,9.551,
2.800,-0.550,2.691,6.206,
