"Time (s) Run #8","Angle (rad) Run #8","Angular Velocity (rad/s) Run #8","Angular Acceleration (rad/s²) Run #8","State Run #8"
0.000,0.000,,,
0.050,0.000,0.000,,
0.100,0.000,0.000,0.000,
0.150,0.000,0.000,0.000,
0.200,0.000,0.000,0.000,
0.250,0.000,0.000,0.000,
0.300,0.000,0.000,0.000,
0.350,0.000,0.000,0.000,
0.400,0.000,0.000,0.000,
0.450,0.000,0.000,0.000,
0.500,0.000,0.000,0.000,
0.550,0.000,0.000,0.000,
0.600,0.000,0.000,0.000,
0.650,0.000,0.000,0.000,
0.700,0.000,0.000,0.000,
0.750,0.000,0.000,0.000,
0.800,0.000,0.000,0.000,
0.850,0.000,0.000,0.000,
0.900,0.000,0.000,0.000,
0.950,0.000,0.000,0.000,
1.000,0.000,0.000,0.000,
1.050,0.000,0.000,0.000,
1.100,0.000,0.000,0.000,
1.150,0.000,0.000,0.000,
1.200,0.000,0.000,0.000,
1.250,0.000,0.000,0.000,
1.300,0.000,0.000,0.000,
1.350,0.000,0.000,0.000,
1.400,0.000,0.000,0.000,
1.450,0.000,0.000,0.000,
1.500,0.000,0.000,0.000,
1.550,0.000,0.000,0.000,
1.600,0.000,0.000,0.000,
1.650,0.000,0.000,0.000,
1.700,0.000,0.000,0.000,
1.750,0.000,0.000,0.000,
1.800,0.000,0.000,0.000,
1.850,0.000,0.000,0.000,
1.900,0.000,0.000,0.000,
1.950,0.000,0.000,0.000,
2.000,0.000,0.000,-2.085,
2.050,0.000,0.000,-12.266,
2.100,0.000,-0.625,-35.246,
2.150,0.000,-3.054,-63.898,
2.200,-0.188,-7.519,-79.606,
2.250,-0.729,-12.275,-70.249,
2.300,-1.527,-15.286,-44.070,
2.350,-2.343,-16.362,-19.150,
2.400,-3.159,-16.653,-2.424,
2.450,-4.006,-16.653,13.284,
2.500,-4.861,-15.723,35.197,
2.550,-5.637,-13.308,61.087,
2.600,-6.244,-9.439,83.388,
2.650,-6.615,-4.611,96.769,
2.700,-6.715,0.596,99.678,
2.750,-6.549,5.687,92.309,
2.800,-6.130,10.167,75.292,
2.850,-5.493,13.512,51.051,
2.900,-4.721,15.359,25.259,
2.950,-3.905,15.810,5.284,
3.000,-3.111,15.446,-3.975,
3.050,-2.361,15.010,-3.539,
3.100,-1.632,14.966,-0.097,
3.150,-0.881,15.228,-2.182,
3.200,-0.100,15.199,-14.932,
3.250,0.676,14.123,-37.040,
3.300,1.370,11.592,-61.911,
3.350,1.885,7.723,-82.030,
3.400,2.169,3.025,-92.696,
3.450,2.195,-1.920,-92.454,
3.500,1.968,-6.574,-81.691,
3.550,1.510,-10.414,-62.105,
3.600,0.881,-12.988,-37.525,
3.650,0.157,-14.137,-14.108,
3.700,-0.576,-14.108,1.794,
3.750,-1.274,-13.526,7.030,
3.800,-1.920,-13.061,3.636,
3.850,-2.557,-13.075,-2.085,
3.900,-3.211,-13.468,-2.909,
3.950,-3.905,-13.744,5.818,
4.000,-4.612,-13.265,24.047,
4.050,-5.280,-11.534,47.172,
4.100,-5.816,-8.465,68.359,
4.150,-6.161,-4.392,81.982,
4.200,-6.270,0.102,85.570,
4.250,-6.144,4.494,79.170,
4.300,-5.803,8.319,63.995,
4.350,-5.280,11.141,42.567,
4.400,-4.638,12.654,19.635,
4.450,-3.966,12.930,1.115,
4.500,-3.320,12.421,-8.727,
4.550,-2.718,11.708,-9.357,
4.600,-2.160,11.257,-3.879,
4.650,-1.614,11.286,2.424,
4.700,-1.047,11.679,4.121,
4.750,-0.445,12.014,-2.376,
4.800,0.175,11.766,-17.308,
4.850,0.768,10.487,-37.331,
4.900,1.270,8.014,-56.966,
4.950,1.606,4.567,-70.928,
5.000,1.741,0.596,-76.067,
5.050,1.667,-3.374,-71.607,
5.100,1.388,-6.865,-58.517,
5.150,0.947,-9.454,-39.464,
5.200,0.401,-10.879,-18.714,
5.250,-0.183,-11.199,-1.212,
5.300,-0.746,-10.734,9.308,
5.350,-1.265,-9.963,11.829,
5.400,-1.737,-9.323,7.999,
5.450,-2.182,-9.061,1.164,
5.500,-2.627,-9.236,-5.042,
5.550,-3.094,-9.701,-7.515,
5.600,-3.595,-10.196,-4.024,
5.650,-4.123,-10.356,6.206,
5.700,-4.656,-9.788,21.914,
5.750,-5.140,-8.247,39.658,
5.800,-5.515,-5.730,54.978,
5.850,-5.738,-2.516,64.141,
5.900,-5.777,0.974,65.110,
5.950,-5.633,4.291,57.741,
6.000,-5.328,6.996,43.585,
6.050,-4.900,8.785,25.695,
6.100,-4.411,9.556,8.096,
6.150,-3.914,9.439,-5.478,
6.200,-3.447,8.770,-12.945,
6.250,-3.033,7.927,-14.496,
6.300,-2.662,7.185,-11.878,
6.350,-2.321,6.676,-6.933,
6.400,-2.003,6.458,-0.921,
6.450,-1.689,6.574,4.945,
6.500,-1.357,7.010,9.114,
6.550,-0.995,7.607,9.890,
6.600,-0.593,8.159,6.012,
6.650,-0.170,8.392,-2.909,
6.700,0.266,8.029,-15.950,
6.750,0.663,6.865,-30.446,
6.800,0.982,4.901,-42.906,
6.850,1.174,2.385,-50.421,
6.900,1.226,-0.364,-51.681,
6.950,1.134,-2.996,-46.688,
7.000,0.912,-5.221,-36.361,
7.050,0.589,-6.763,-22.689,
7.100,0.205,-7.505,-8.436,
7.150,-0.188,-7.519,3.588,
7.200,-0.563,-6.996,11.732,
7.250,-0.899,-6.196,15.708,
7.300,-1.182,-5.309,16.338,
7.350,-1.427,-4.494,14.932,
7.400,-1.628,-3.796,12.508,
7.450,-1.802,-3.229,9.648,
7.500,-1.946,-2.822,6.545,
7.550,-2.077,-2.574,3.491,
7.600,-2.199,-2.487,0.630,
7.650,-2.321,-2.516,-2.133,
7.700,-2.448,-2.691,-4.945,
7.750,-2.583,-3.011,-7.757,
7.800,-2.745,-3.476,-10.278,
7.850,-2.928,-4.058,-12.266,
7.900,-3.146,-4.727,-13.235,
7.950,-3.399,-5.440,-12.411,
8.000,-3.691,-6.065,-8.824,
8.050,-4.014,-6.443,-1.891,
8.100,-4.350,-6.370,7.999,
8.150,-4.673,-5.701,19.393,
8.200,-4.944,-4.407,29.913,
8.250,-5.131,-2.589,37.137,
8.300,-5.214,-0.509,39.561,
8.350,-5.179,1.542,37.040,
8.400,-5.048,3.331,30.495,
8.450,-4.835,4.683,21.186,
8.500,-4.560,5.498,10.617,
8.550,-4.263,5.730,0.436,
8.600,-3.971,5.469,-7.999,
8.650,-3.704,4.843,-14.060,
8.700,-3.478,3.985,-17.793,
8.750,-3.303,2.996,-19.490,
8.800,-3.176,1.978,-19.683,
8.850,-3.107,1.004,-19.102,
8.900,-3.081,0.073,-18.374,
8.950,-3.098,-0.829,-17.696,
9.000,-3.163,-1.702,-16.968,
9.050,-3.272,-2.531,-16.096,
9.100,-3.416,-3.316,-14.787,
9.150,-3.604,-4.043,-12.411,
9.200,-3.827,-4.625,-8.290,
9.250,-4.075,-4.945,-2.133,
9.300,-4.333,-4.901,5.721,
9.350,-4.581,-4.407,14.350,
9.400,-4.791,-3.447,22.301,
9.450,-4.939,-2.094,27.974,
9.500,-5.009,-0.524,30.204,
9.550,-4.992,1.062,28.652,
9.600,-4.896,2.458,23.804,
9.650,-4.734,3.520,16.629,
9.700,-4.529,4.160,8.339,
9.750,-4.302,4.349,0.145,
9.800,-4.080,4.131,-6.933,
9.850,-3.879,3.592,-12.314,
9.900,-3.713,2.836,-15.853,
9.950,-3.591,1.949,-17.696,
10.000,-3.517,1.018,-18.181,
10.050,-3.491,0.102,-17.696,
10.100,-3.508,-0.771,-16.581,
10.150,-3.569,-1.571,-14.981,
10.200,-3.670,-2.283,-12.848,
10.250,-3.800,-2.880,-9.939,
10.300,-3.962,-3.316,-6.012,
10.350,-4.141,-3.520,-1.067,
10.400,-4.324,-3.447,4.654,
10.450,-4.494,-3.069,10.617,
10.500,-4.643,-2.371,15.999,
10.550,-4.743,-1.411,19.683,
10.600,-4.787,-0.305,20.799,
10.650,-4.773,0.771,19.247,
10.700,-4.704,1.687,15.611,
