"Time (s) Run #5","Angle (rad) Run #5","Angular Velocity (rad/s) Run #5","Angular Acceleration (rad/s²) Run #5","State Run #5"
0.000,0.000,,,
0.050,0.083,1.571,,
0.100,0.157,1.251,-6.836,
0.150,0.214,0.887,-6.981,
0.200,0.244,0.509,-6.206,
0.236,,,,1.00
0.250,0.262,0.218,-4.412,
0.294,,,,0.00
0.300,0.262,0.058,-2.085,
0.350,0.262,0.015,0.194,
0.400,0.262,0.087,2.085,
0.450,0.266,0.247,3.345,
0.500,0.284,0.451,3.830,
0.550,0.314,0.654,3.636,
0.600,0.349,0.829,2.812,
0.650,0.397,0.960,1.261,
0.700,0.449,0.989,-0.970,
0.750,0.502,0.873,-3.539,
0.800,0.541,0.625,-5.963,
0.850,0.567,0.262,-7.999,
0.900,0.572,-0.189,-9.599,
0.950,0.550,-0.713,-10.666,
1.000,0.502,-1.280,-11.054,
1.050,0.423,-1.847,-10.472,
1.100,0.314,-2.371,-8.678,
1.150,0.183,-2.763,-5.527,
1.200,0.031,-2.967,-1.067,
1.250,-0.122,-2.909,4.412,
1.300,-0.271,-2.545,10.327,
1.350,-0.388,-1.862,15.708,
1.400,-0.467,-0.916,19.586,
1.450,-0.484,0.175,21.283,
1.500,-0.449,1.294,20.653,
1.542,,,,1.00
1.550,-0.353,2.313,17.938,
1.600,,,,0.00
1.600,-0.209,3.142,13.769,
1.650,-0.031,3.709,8.969,
1.700,0.170,4.029,4.169,
1.750,0.380,4.116,-0.194,
1.800,0.589,3.985,-3.782,
1.850,0.785,3.694,-6.303,
1.900,0.960,3.316,-7.805,
1.950,1.117,2.894,-8.678,
2.000,1.252,2.443,-9.308,
2.050,1.361,1.963,-9.939,
2.100,1.449,1.454,-10.714,
2.150,1.510,0.902,-11.732,
2.200,1.540,0.291,-13.090,
2.250,1.540,-0.393,-14.835,
2.300,1.505,-1.178,-16.872,
2.350,1.427,-2.080,-18.956,
2.400,1.300,-3.083,-20.653,
2.450,1.121,-4.174,-21.186,
2.500,0.886,-5.280,-19.441,
2.550,0.589,-6.240,-14.254,
2.600,0.249,-6.850,-5.042,
2.650,-0.113,-6.880,7.757,
2.700,-0.467,-6.152,22.350,
2.750,-0.759,-4.611,35.828,
2.800,-0.951,-2.414,45.330,
2.847,,,,1.00
2.850,-1.012,0.131,49.063,
2.900,-0.938,2.705,46.688,
2.905,,,,0.00
2.950,-0.733,4.989,38.979,
3.000,-0.419,6.734,27.683,
3.050,-0.035,7.796,15.369,
3.100,0.384,8.203,4.800,
3.150,0.803,8.130,-1.988,
3.200,1.204,7.839,-4.315,
3.250,1.584,7.563,-2.763,
3.300,1.955,7.476,1.406,
3.350,2.321,7.665,6.690,
3.400,2.710,8.159,11.199,
3.450,3.129,8.887,12.702,
3.500,3.595,9.614,8.921,
3.550,4.102,10.021,-1.357,
3.600,4.621,9.701,-17.405,
3.650,5.109,8.392,-36.216,
3.700,5.498,6.021,-53.233,
3.750,5.742,2.836,-64.189,
3.800,5.794,-0.713,-66.468,
3.850,5.664,-4.131,-59.874,
3.900,5.363,-6.952,-46.106,
3.950,4.935,-8.887,-28.410,
4.000,4.437,-9.788,-10.908,
4.050,3.923,-9.817,2.618,
4.100,3.438,-9.294,9.987,
4.150,2.989,-8.596,11.442,
4.156,,,,1.00
4.200,2.583,-8.014,8.872,
4.214,,,,0.00
4.250,2.199,-7.665,4.654,
4.300,1.824,-7.563,0.776,
4.350,1.449,-7.650,-1.261,
4.400,1.065,-7.796,-0.194,
4.450,0.663,-7.810,4.751,
4.500,0.271,-7.461,13.332,
4.550,-0.100,-6.560,24.047,
4.600,-0.410,-5.047,34.325,
4.650,-0.624,-3.011,41.355,
4.700,-0.720,-0.713,43.148,
4.750,-0.694,1.513,39.221,
4.800,-0.554,3.374,30.543,
4.850,-0.336,4.669,18.908,
4.900,-0.065,5.294,6.351,
4.950,0.218,5.265,-5.236,
5.000,0.480,4.683,-14.593,
5.050,0.698,3.709,-21.186,
5.100,0.860,2.473,-25.016,
5.150,0.951,1.120,-26.374,
5.200,0.969,-0.233,-25.744,
5.250,0.925,-1.498,-23.707,
5.300,0.816,-2.633,-20.459,
5.350,0.654,-3.592,-15.708,
5.400,0.449,-4.276,-8.969,
5.450,0.214,-4.567,-0.194,
5.480,,,,1.00
5.500,-0.026,-4.349,9.842,
5.539,,,,0.00
5.550,-0.240,-3.578,19.635,
5.600,-0.401,-2.313,27.440,
5.650,-0.484,-0.713,31.852,
5.700,-0.476,1.018,32.143,
5.750,-0.380,2.647,28.459,
5.800,-0.201,3.971,21.768,
5.850,0.035,4.872,13.575,
5.900,0.301,5.323,5.333,
5.950,0.580,5.367,-1.939,
6.000,0.851,5.076,-7.612,
6.050,1.095,4.538,-11.442,
6.100,1.309,3.869,-13.623,
6.150,1.484,3.142,-14.787,
6.200,1.623,2.385,-15.611,
6.250,1.724,1.585,-16.338,
6.300,1.785,0.742,-16.968,
6.350,1.798,-0.116,-17.647,
6.400,1.772,-1.004,-18.665,
6.450,1.702,-1.963,-20.071,
6.500,1.580,-3.011,-21.477,
6.550,1.401,-4.131,-22.156,
6.600,1.169,-5.280,-21.089,
6.650,0.873,-6.341,-16.968,
6.700,0.524,-7.127,-8.824,
6.750,0.144,-7.374,3.345,
6.800,-0.240,-6.894,18.229,
6.805,,,,1.00
6.850,-0.576,-5.571,33.258,
6.864,,,,0.00
6.900,-0.825,-3.462,45.282,
6.950,-0.942,-0.829,51.584,
7.000,-0.912,1.949,50.954,
7.050,-0.737,4.494,43.924,
7.100,-0.445,6.501,32.386,
7.150,-0.061,7.796,19.053,
7.200,0.362,8.363,6.884,
7.250,0.794,8.348,-1.794,
7.300,1.209,8.014,-5.915,
7.350,1.597,7.607,-5.818,
7.400,1.963,7.330,-2.860,
7.450,2.321,7.287,1.309,
7.500,2.683,7.476,5.139,
7.550,3.063,7.854,7.078,
7.600,3.464,8.305,5.478,
7.650,3.896,8.581,-0.921,
7.700,4.342,8.392,-11.975,
7.750,4.760,7.490,-25.744,
7.800,5.118,5.803,-39.124,
7.850,5.367,3.447,-48.724,
7.900,5.476,0.698,-52.021,
7.950,5.437,-2.022,-48.190,
8.000,5.258,-4.334,-38.252,
8.050,4.979,-5.978,-24.483,
8.100,4.634,-6.821,-9.551,
8.123,,,,1.00
8.150,4.267,-6.880,4.024,
