"Time (s) Run #6","Angle (rad) Run #6","Angular Velocity (rad/s) Run #6","Angular Acceleration (rad/s²) Run #6","State Run #6"
0.000,0.000,,,
0.050,0.000,0.000,,
0.100,0.000,0.000,0.000,
0.150,0.000,0.000,0.000,
0.200,0.000,0.000,0.000,
0.250,0.000,0.000,0.000,
0.300,0.000,0.000,0.000,
0.350,0.000,0.000,0.000,
0.400,0.000,0.000,0.000,
0.450,0.000,0.000,0.000,
0.500,0.000,0.000,0.000,
0.550,0.000,0.000,0.000,
0.600,0.000,0.000,0.000,
0.650,0.000,0.000,0.000,
0.700,0.000,0.000,0.000,
0.750,0.000,0.000,0.000,
0.800,0.000,0.000,0.000,
0.850,0.000,0.000,0.000,
0.900,0.000,0.000,0.000,
0.950,0.000,0.000,0.000,
1.000,0.000,0.000,0.000,
1.050,0.000,0.000,0.000,
1.100,0.000,0.000,0.000,
1.150,0.000,0.000,0.000,
1.200,0.000,0.000,0.000,
1.250,0.000,0.000,0.000,
1.300,0.000,0.000,0.000,
1.350,0.000,0.000,0.000,
1.400,0.000,0.000,0.000,
1.450,0.000,0.000,0.000,
1.500,0.000,0.000,-0.242,
1.550,0.000,0.000,-1.745,
1.600,0.000,-0.073,-5.624,
1.650,0.000,-0.451,-11.151,
1.700,-0.022,-1.236,-14.447,
1.750,-0.113,-2.182,-10.714,
1.800,-0.257,-2.676,1.454,
1.850,-0.419,-2.225,23.223,
1.900,-0.519,-0.756,57.111,
1.950,-0.519,2.865,96.575,
2.000,-0.384,9.367,120.331,
2.050,0.305,16.624,108.453,
2.100,1.466,21.584,67.147,
2.150,2.618,23.184,21.429,
2.200,3.779,22.951,-14.641,
2.250,4.948,21.686,-44.651,
2.300,6.021,18.690,-73.546,
2.350,6.881,14.050,-96.672,
2.400,7.453,8.523,-108.550,
2.450,7.732,2.851,-111.071,
2.500,7.727,-2.676,-108.889,
2.550,7.461,-8.072,-103.168,
2.600,6.920,-13.221,-90.466,
2.650,6.117,-17.555,-67.922,
2.700,5.105,-20.333,-39.270,
2.750,4.010,-21.337,-14.350,
2.800,2.928,-21.220,-0.630,
2.850,1.894,-20.973,4.509,
2.900,0.855,-20.886,11.878,
2.950,-0.209,-20.319,29.961,
3.000,-1.235,-18.311,57.014,
3.050,-2.112,-14.559,83.776,
3.100,-2.736,-9.541,102.150,
3.150,-3.076,-3.956,110.489,
3.200,-3.133,1.731,110.877,
3.250,-2.902,7.316,104.041,
3.300,-2.391,12.450,88.285,
3.350,-1.623,16.537,63.414,
3.400,-0.676,18.995,34.810,
3.450,0.345,19.795,11.636,
3.500,1.340,19.635,-0.097,
3.550,2.299,19.388,-3.491,
3.600,3.259,19.373,-8.630,
3.650,4.241,19.010,-23.901,
3.700,5.210,17.424,-49.015,
3.750,6.052,14.166,-76.019,
3.800,6.676,9.512,-96.429,
3.850,7.025,4.116,-106.514,
3.900,7.090,-1.454,-106.853,
3.950,6.872,-6.821,-98.466,
4.000,6.392,-11.606,-81.109,
4.050,5.677,-15.272,-55.802,
4.100,4.804,-17.337,-28.022,
4.150,3.879,-17.831,-6.448,
4.200,2.989,-17.453,3.151,
4.250,2.142,-17.090,3.151,
4.300,1.305,-17.133,2.860,
4.350,0.436,-17.206,11.539,
4.400,-0.445,-16.479,31.707,
4.450,-1.270,-14.283,58.081,
4.500,-1.933,-10.545,82.127,
4.550,-2.361,-5.716,97.544,
4.600,-2.518,-0.407,102.247,
4.650,-2.400,4.843,96.526,
4.700,-2.016,9.570,81.061,
4.750,-1.409,13.265,57.596,
4.800,-0.637,15.490,30.883,
4.850,0.201,16.202,8.436,
4.900,1.021,15.897,-3.491,
4.950,1.793,15.388,-4.557,
5.000,2.539,15.257,-1.115,
5.050,3.299,15.475,-2.230,
5.100,4.093,15.475,-13.817,
5.150,4.883,14.501,-35.197,
5.200,5.598,12.086,-60.165,
5.250,6.144,8.305,-81.061,
5.300,6.458,3.622,-92.745,
5.350,6.514,-1.353,-93.569,
5.400,6.314,-6.080,-84.018,
5.450,5.882,-10.065,-65.644,
5.500,5.267,-12.872,-41.597,
5.550,4.542,-14.254,-17.453,
5.600,3.792,-14.370,0.242,
5.650,3.081,-13.803,7.515,
5.700,2.417,-13.250,5.672,
5.750,1.776,-13.119,0.533,
5.800,1.121,-13.352,-0.873,
5.850,0.441,-13.541,6.206,
5.900,-0.253,-13.090,22.350,
5.950,-0.912,-11.519,43.876,
6.000,-1.453,-8.668,64.626,
6.050,-1.815,-4.800,78.976,
6.100,-1.950,-0.422,83.776,
6.150,-1.854,3.927,78.394,
6.200,-1.540,7.738,63.898,
6.250,-1.047,10.559,43.003,
6.300,-0.436,12.115,20.411,
6.350,0.209,12.450,1.842,
6.400,0.838,11.970,-8.387,
6.450,1.414,11.257,-9.454,
6.500,1.950,10.792,-4.218,
6.550,2.474,10.792,2.424,
6.600,3.015,11.170,5.527,
6.650,3.587,11.606,1.600,
6.700,4.189,11.636,-10.375,
6.750,4.782,10.806,-28.410,
6.800,5.310,8.858,-48.045,
6.850,5.707,5.861,-64.092,
6.900,5.921,2.167,-72.625,
6.950,5.930,-1.731,-71.946,
7.000,5.738,-5.338,-62.299,
7.050,5.371,-8.218,-45.572,
7.100,4.878,-10.036,-25.307,
7.150,4.324,-10.705,-6.206,
7.200,3.774,-10.443,7.418,
7.250,3.264,-9.672,13.478,
7.300,2.806,-8.843,12.702,
7.350,2.391,-8.261,7.709,
7.400,1.994,-8.043,1.357,
7.450,1.597,-8.159,-4.169,
7.500,1.187,-8.538,-7.078,
7.550,0.750,-9.018,-5.527,
7.600,0.279,-9.308,1.891,
7.650,-0.201,-9.047,14.835,
7.700,-0.654,-7.941,30.737,
7.750,-1.030,-5.934,45.572,
7.800,-1.274,-3.200,55.511,
7.850,-1.361,-0.116,58.323,
7.900,-1.283,2.894,53.669,
7.950,-1.056,5.469,42.809,
8.000,-0.711,7.316,28.022,
8.050,-0.292,8.305,12.266,
8.100,0.148,8.465,-1.454,
8.150,0.576,7.999,-10.957,
8.200,0.960,7.185,-15.417,
8.250,1.296,6.298,-15.417,
8.300,1.584,5.541,-12.363,
8.350,1.841,5.018,-7.805,
8.400,2.077,4.756,-2.860,
8.450,2.308,4.741,1.891,
8.500,2.544,4.960,6.206,
8.550,2.797,5.381,9.696,
8.600,3.076,5.978,11.539,
8.650,3.390,6.632,10.617,
8.700,3.744,7.170,5.963,
8.750,4.119,7.374,-2.618,
8.800,4.499,7.025,-14.205,
8.850,4.848,5.992,-26.713,
8.900,5.123,4.291,-37.428,
8.950,5.293,2.094,-43.973,
9.000,5.341,-0.305,-45.039,
9.050,5.258,-2.603,-40.579,
9.100,5.066,-4.523,-31.561,
9.150,4.787,-5.861,-19.683,
9.200,4.455,-6.516,-7.127,
9.250,4.110,-6.516,3.927,
9.300,3.787,-6.007,11.975,
9.350,3.499,-5.192,16.678,
9.400,3.264,-4.247,18.665,
9.450,3.076,-3.272,18.956,
9.500,2.937,-2.327,18.374,
9.550,2.845,-1.425,17.356,
9.600,2.797,-0.582,16.096,
9.650,2.788,0.189,14.835,
9.700,2.819,0.887,13.963,
9.750,2.880,1.556,13.720,
9.800,2.971,2.240,13.963,
9.850,3.102,2.953,14.205,
9.900,3.268,3.680,13.914,
9.950,3.469,4.378,12.508,
10.000,3.709,4.989,9.308,
10.050,3.975,5.396,3.782,
10.100,4.259,5.454,-4.072,
10.150,4.538,5.047,-13.381,
10.200,4.782,4.116,-22.544,
10.250,4.965,2.720,-29.671,
10.300,5.066,1.018,-33.210,
10.350,5.070,-0.756,-32.531,
10.400,4.983,-2.371,-27.974,
10.450,4.821,-3.651,-20.508,
10.500,4.603,-4.480,-11.442,
10.550,4.355,-4.800,-2.230,
10.600,4.106,-4.654,5.818,
10.650,3.879,-4.145,11.975,
10.700,3.683,-3.389,16.096,
10.750,3.534,-2.473,18.277,
10.800,3.434,-1.498,18.859,
10.850,3.386,-0.553,18.374,
10.900,3.382,0.349,17.405,
10.950,3.421,1.193,16.144,
11.000,3.504,1.978,14.496,
11.050,3.622,2.662,12.363,
